Name,Diameter,Position
100_p130_0038_4.png,100,170
150_m440_0066_0.png,150,-370
100_m150_0053_1.png,100,-110
100_p420_0073_2.png,100,460
150_m350_0100_0.png,150,-280
150_m390_0034_1.png,150,-320
100_p290_0047_2.png,100,330
150_p40_0026_1.png,150,110
100_p500_0070_4.png,100,540
150_p470_0086_2.png,150,540
50_p60_0011_3.png,50,110
50_p120_0029_0.png,50,170
150_p150_0072_0.png,150,220
150_m800_0071_2.png,150,-730
50_m260_0056_1.png,50,-210
50_m150_0098_1.png,50,-100
100_p200_0047_0.png,100,240
50_m160_0048_0.png,50,-110
150_m150_0095_1.png,150,-80
150_m680_0074_0.png,150,-610
100_p380_0056_1.png,100,420
100_p250_0088_1.png,100,290
150_m460_0002_0.png,150,-390
150_p10_0084_0.png,150,80
100_p140_0008_2.png,100,180
150_m620_0070_1.png,150,-550
150_p20_0089_1.png,150,90
150_m560_0102_1.png,150,-490
150_m190_0011_2.png,150,-120
150_p620_0039_2.png,150,690
150_p260_0035_0.png,150,330
150_p460_0016_1.png,150,530
100_p250_0006_2.png,100,290
150_p70_0071_0.png,150,140
150_m200_0097_1.png,150,-130
150_p20_0090_0.png,150,90
150_m640_0068_0.png,150,-570
100_p0_0006_2.png,100,40
50_m10_0092_3.png,50,40
150_m180_0023_2.png,150,-110
100_p120_0011_3.png,100,160
150_p640_0035_1.png,150,710
50_p100_0073_0.png,50,150
150_m450_0062_2.png,150,-380
100_p0_0019_0.png,100,40
150_m220_0050_0.png,150,-150
100_p300_0010_0.png,100,340
100_m30_0020_1.png,100,10
150_m330_0042_1.png,150,-260
50_p100_0093_0.png,50,150
150_m340_0061_0.png,150,-270
50_m150_0033_4.png,50,-100
150_p450_0005_2.png,150,520
150_m760_0027_0.png,150,-690
150_p260_0090_0.png,150,330
150_p660_0036_2.png,150,730
100_p160_0095_1.png,100,200
50_m40_0009_5.png,50,10
50_p90_0052_2.png,50,140
100_p70_0002_3.png,100,110
50_p110_0084_2.png,50,160
50_m130_0071_4.png,50,-80
150_p200_0035_0.png,150,270
50_m60_0029_1.png,50,-10
50_m70_0087_1.png,50,-20
100_p380_0087_3.png,100,420
150_m230_0068_0.png,150,-160
150_m260_0080_1.png,150,-190
150_p180_0070_1.png,150,250
50_m40_0035_5.png,50,10
150_m310_0088_0.png,150,-240
150_m70_0001_2.png,150,0
50_m120_0089_1.png,50,-70
50_p50_0088_2.png,50,100
150_m330_0096_1.png,150,-260
50_m140_0083_4.png,50,-90
150_m410_0008_0.png,150,-340
100_p90_0104_0.png,100,130
50_m280_0091_5.png,50,-230
100_p700_0019_0.png,100,740
150_p280_0053_0.png,150,350
150_m640_0048_2.png,150,-570
100_p190_0031_1.png,100,230
100_p270_0042_2.png,100,310
100_p90_0063_0.png,100,130
150_p680_0021_1.png,150,750
50_m300_0071_2.png,50,-250
150_p210_0089_1.png,150,280
150_m200_0026_1.png,150,-130
150_p220_0053_0.png,150,290
150_p420_0024_0.png,150,490
150_m300_0087_0.png,150,-230
150_m370_0083_1.png,150,-300
100_p210_0078_0.png,100,250
100_m50_0080_1.png,100,-10
100_p420_0103_0.png,100,460
150_p950_0095_1.png,150,1020
50_p120_0094_2.png,50,170
50_m220_0049_1.png,50,-170
150_m480_0058_2.png,150,-410
100_p320_0024_1.png,100,360
50_m240_0085_5.png,50,-190
150_p290_0010_2.png,150,360
50_m80_0006_1.png,50,-30
50_m160_0076_2.png,50,-110
150_m370_0061_1.png,150,-300
150_m460_0057_2.png,150,-390
150_p520_0093_1.png,150,590
150_m600_0063_2.png,150,-530
100_m80_0004_1.png,100,-40
100_p460_0093_3.png,100,500
100_p380_0037_2.png,100,420
100_p170_0028_2.png,100,210
150_p540_0014_2.png,150,610
150_m340_0052_0.png,150,-270
50_m260_0026_4.png,50,-210
100_p550_0060_2.png,100,590
50_p90_0035_1.png,50,140
150_m320_0074_2.png,150,-250
150_p320_0068_1.png,150,390
100_m30_0084_1.png,100,10
50_m180_0002_1.png,50,-130
100_p280_0102_1.png,100,320
100_p480_0006_2.png,100,520
150_p330_0070_0.png,150,400
150_m800_0022_1.png,150,-730
50_m130_0080_1.png,50,-80
150_p10_0075_2.png,150,80
150_m280_0055_0.png,150,-210
150_m490_0042_2.png,150,-420
150_m310_0068_2.png,150,-240
100_p140_0038_1.png,100,180
150_p150_0074_1.png,150,220
150_m140_0092_2.png,150,-70
150_p540_0045_1.png,150,610
100_m110_0091_4.png,100,-70
150_p800_0004_2.png,150,870
100_m40_0069_0.png,100,0
150_p300_0041_0.png,150,370
100_p380_0078_1.png,100,420
150_p370_0069_1.png,150,440
100_p210_0014_2.png,100,250
150_m950_0046_0.png,150,-880
150_p130_0048_0.png,150,200
100_m20_0051_3.png,100,20
100_p420_0084_1.png,100,460
150_m210_0056_0.png,150,-140
100_p260_0003_2.png,100,300
100_p250_0092_3.png,100,290
50_m300_0048_5.png,50,-250
150_m10_0012_1.png,150,60
50_m130_0091_3.png,50,-80
150_m720_0022_0.png,150,-650
50_m220_0036_1.png,50,-170
50_m40_0053_4.png,50,10
50_m180_0030_5.png,50,-130
150_p660_0030_2.png,150,730
150_p540_0035_0.png,150,610
50_p80_0051_3.png,50,130
100_m20_0071_1.png,100,20
100_m60_0091_4.png,100,-20
50_p100_0099_1.png,50,150
150_p440_0100_1.png,150,510
100_p250_0014_3.png,100,290
150_p720_0024_1.png,150,790
150_m380_0064_1.png,150,-310
150_p370_0074_1.png,150,440
150_p220_0005_1.png,150,290
50_p90_0049_0.png,50,140
150_m430_0016_2.png,150,-360
150_p40_0046_0.png,150,110
150_p240_0019_1.png,150,310
150_p170_0040_1.png,150,240
50_p30_0087_1.png,50,80
150_m100_0014_1.png,150,-30
150_m400_0057_1.png,150,-330
150_p480_0032_1.png,150,550
150_p340_0055_0.png,150,410
50_m220_0079_1.png,50,-170
150_m370_0103_0.png,150,-300
150_p40_0070_1.png,150,110
100_p230_0051_1.png,100,270
100_p0_0028_3.png,100,40
150_p300_0106_0.png,150,370
100_p40_0066 (2)_1.png,100,80
150_m740_0017_0.png,150,-670
50_m120_0087_4.png,50,-70
100_p140_0036_4.png,100,180
150_p520_0010_2.png,150,590
150_m330_0102_2.png,150,-260
100_m120_0068_2.png,100,-80
50_m140_0098_2.png,50,-90
100_m70_0098_2.png,100,-30
150_p1000_0034_0.png,150,1070
100_p110_0061_1.png,100,150
150_p520_0008_0.png,150,590
150_p430_0106_0.png,150,500
100_p240_0068_2.png,100,280
100_p500_0059_0.png,100,540
150_m450_0068_0.png,150,-380
50_m30_0093_5.png,50,20
150_m680_0001_2.png,150,-610
50_p20_0028_1.png,50,70
100_p160_0013_3.png,100,200
100_p130_0029_1.png,100,170
100_m90_0087_2.png,100,-50
100_p200_0012_0.png,100,240
100_p380_0056_4.png,100,420
150_p150_0084_2.png,150,220
150_p320_0033_1.png,150,390
50_p150_0100_1.png,50,200
50_p140_0077_1.png,50,190
100_p340_0079_0.png,100,380
150_m360_0056_1.png,150,-290
100_p210_0046_3.png,100,250
150_m400_0029_0.png,150,-330
150_p500_0025_1.png,150,570
150_m330_0013_2.png,150,-260
150_m500_0058_0.png,150,-430
100_p300_0024_1.png,100,340
150_p500_0090_2.png,150,570
100_p70_0058_1.png,100,110
100_m60_0080_2.png,100,-20
100_p190_0037_3.png,100,230
150_p270_0106_0.png,150,340
150_p80_0014_0.png,150,150
100_p250_0056_1.png,100,290
50_m240_0019_0.png,50,-190
150_p420_0082_2.png,150,490
100_m300_0020_0.png,100,-260
150_p620_0029_0.png,150,690
100_p340_0012_2.png,100,380
150_p280_0035_2.png,150,350
100_m90_0077_1.png,100,-50
100_m80_0097_2.png,100,-40
100_p90_0095_0.png,100,130
150_p290_0001_0.png,150,360
150_m660_0100_0.png,150,-590
150_p800_0095_2.png,150,870
100_p40_0095 (2)_1.png,100,80
100_p150_0073_2.png,100,190
100_p250_0019_0.png,100,290
100_p190_0045_0.png,100,230
50_p100_0011_1.png,50,150
150_p60_0005_1.png,150,130
150_p560_0011_1.png,150,630
100_p460_0104_4.png,100,500
100_p290_0094_1.png,100,330
50_m40_0026_1.png,50,10
150_p290_0053_0.png,150,360
150_m140_0042_2.png,150,-70
150_p290_0069_0.png,150,360
150_p90_0082_0.png,150,160
100_p340_0055_4.png,100,380
150_p30_0031_0.png,150,100
150_m950_0037_0.png,150,-880
150_m700_0086_0.png,150,-630
150_p80_0024_0.png,150,150
150_p520_0041_1.png,150,590
100_p220_0052_1.png,100,260
100_p480_0017_1.png,100,520
150_m1000_0039_0.png,150,-930
50_m130_0083_3.png,50,-80
100_p460_0084_2.png,100,500
150_m780_0101_2.png,150,-710
50_m10_0071_5.png,50,40
100_p550_0013_3.png,100,590
100_m360_0084_1.png,100,-320
150_p680_0026_1.png,150,750
150_p210_0098_0.png,150,280
150_m300_0008_0.png,150,-230
100_p180_0051_0.png,100,220
100_p340_0101_0.png,100,380
150_p490_0017_1.png,150,560
150_p370_0077_0.png,150,440
50_p110_0057_2.png,50,160
100_p100_0040_3.png,100,140
100_p290_0004_2.png,100,330
150_p900_0052_1.png,150,970
150_m450_0056_0.png,150,-380
100_m30_0029_0.png,100,10
150_p120_0087_0.png,150,190
150_m170_0076_0.png,150,-100
150_m400_0081_2.png,150,-330
50_p90_0038_0.png,50,140
100_p420_0037_3.png,100,460
150_m220_0043_1.png,150,-150
100_p110_0044_0.png,100,150
150_p440_0008_1.png,150,510
50_m240_0006_3.png,50,-190
150_m490_0012_2.png,150,-420
150_p320_0021_2.png,150,390
100_p180_0044_1.png,100,220
150_m500_0031_1.png,150,-430
150_m10_0019_2.png,150,60
150_m380_0067_0.png,150,-310
150_m270_0064_0.png,150,-200
150_p900_0061_1.png,150,970
100_p190_0064_1.png,100,230
100_p70_0088_0.png,100,110
150_m680_0081_0.png,150,-610
100_p180_0065_3.png,100,220
150_m450_0071_1.png,150,-380
150_m100_0056_0.png,150,-30
100_p380_0094_1.png,100,420
150_m540_0027_2.png,150,-470
100_p440_0074_1.png,100,480
150_p580_0044_1.png,150,650
150_m360_0074_0.png,150,-290
100_p290_0019_0.png,100,330
150_p170_0101_0.png,150,240
150_m10_0098_1.png,150,60
150_p600_0057_0.png,150,670
50_m160_0003_5.png,50,-110
100_p300_0055_1.png,100,340
100_m40_0075_0.png,100,0
150_p50_0077_2.png,150,120
150_m280_0001_2.png,150,-210
100_p460_0041_4.png,100,500
50_m100_0027_0.png,50,-50
150_p250_0054_2.png,150,320
50_m150_0043_5.png,50,-100
100_p200_0042_1.png,100,240
150_p270_0014_0.png,150,340
50_m220_0063_3.png,50,-170
150_p260_0073_2.png,150,330
100_p270_0016_3.png,100,310
150_p780_0066_1.png,150,850
100_p230_0084_0.png,100,270
150_m720_0099_0.png,150,-650
150_p400_0030_2.png,150,470
100_m110_0013_2.png,100,-70
100_p280_0085_3.png,100,320
100_m60_0015_4.png,100,-20
150_m160_0053_2.png,150,-90
150_m320_0014_1.png,150,-250
50_m220_0049_0.png,50,-170
150_p900_0003_0.png,150,970
100_p210_0058_0.png,100,250
100_m150_0058_0.png,100,-110
150_m850_0031_0.png,150,-780
100_p150_0096_2.png,100,190
