Name,Diameter,Position
150_p150_0025_1.png,150,220
150_m290_0011_1.png,150,-220
50_m80_0009_3.png,50,-30
50_m110_0012_5.png,50,-60
400_p240_0103_0.png,400,240
200_p0_0025_1.png,200,110
100_m40_0015_4.png,100,0
400_m220_0009_0.png,400,-220
300_p170_0073_0.png,300,210
50_p160_0084_0.png,50,210
150_p220_0009_0.png,150,290
100_m150_0012_5.png,100,-110
100_p100_0015_4.png,100,140
150_m240_0021_1.png,150,-170
300_m80_0075_0.png,300,-40
200_m90_0046_1.png,200,20
400_p70_0073_0.png,400,70
400_m200_0002_0.png,400,-200
100_p120_0018_3.png,100,160
200_m380_0014_0.png,200,-270
400_m70_0057_0.png,400,-70
300_m20_0051_1.png,300,20
50_p50_0002_7.png,50,100
150_m370_0014_1.png,150,-300
150_p80_0027_1.png,150,150
100_m60_0015_2.png,100,-20
50_p80_0010_0.png,50,130
100_m90_0027_0.png,100,-50
200_m320_0009_0.png,200,-210
50_m260_0004_1.png,50,-210
200_p150_0068_1.png,200,260
50_p140_0033_3.png,50,190
200_m30_0060_1.png,200,80
200_m330_0023_0.png,200,-220
100_m90_0014_5.png,100,-50
300_p60_0063_0.png,300,100
400_m70_0098_0.png,400,-70
150_m270_0024_2.png,150,-200
200_p20_0010_1.png,200,130
300_p60_0009_0.png,300,100
300_p150_0056_0.png,300,190
150_m90_0014_1.png,150,-20
200_m330_0024_0.png,200,-220
150_m140_0022_1.png,150,-70
200_m280_0025_2.png,200,-170
200_p190_0010_1.png,200,300
400_m150_0014_0.png,400,-150
150_m330_0027_1.png,150,-260
150_m100_0041_1.png,150,-30
100_p230_0012_1.png,100,270
150_p100_0004_2.png,150,170
200_p80_0034_1.png,200,190
300_p40_0007_1.png,300,80
300_p90_0086_1.png,300,130
150_p110_0023_0.png,150,180
50_p10_0015_3.png,50,60
150_p30_0013_1.png,150,100
100_m70_0028_0.png,100,-30
200_m90_0068_1.png,200,20
300_p40_0068_1.png,300,80
400_p240_0007_0.png,400,240
300_p140_0047_0.png,300,180
400_m180_0012_0.png,400,-180
400_m240_0002_0.png,400,-240
150_m330_0028_1.png,150,-260
300_m110_0039_0.png,300,-70
300_m220_0084_0.png,300,-180
100_m30_0010_0.png,100,10
150_p150_0016_2.png,150,220
200_m230_0012_0.png,200,-120
150_m40_0032_2.png,150,30
400_m10_0018_0.png,400,-10
400_p80_0063_0.png,400,80
200_m90_0053_0.png,200,20
400_p40_0070_0.png,400,40
200_m90_0017_0.png,200,20
300_m150_0031_0.png,300,-110
100_p140_0006_3.png,100,180
50_m100_0012_4.png,50,-50
400_m190_0023_0.png,400,-190
100_p120_0016_4.png,100,160
50_p30_0007_0.png,50,80
100_p130_0015_3.png,100,170
50_p240_0059_0.png,50,290
200_m190_0009_1.png,200,-80
300_m120_0026_0.png,300,-80
300_p80_0085_1.png,300,120
400_m300_0005_0.png,400,-300
50_p80_0008_0.png,50,130
100_p180_0019_0.png,100,220
150_p80_0029_0.png,150,150
150_m70_0036_1.png,150,0
300_m30_0033_1.png,300,10
50_p140_0009_0.png,50,190
400_p220_0097_0.png,400,220
150_m220_0034_1.png,150,-150
150_m160_0005_3.png,150,-90
400_p0_0061_0.png,400,0
200_p10_0034_1.png,200,120
150_m50_0011_2.png,150,20
300_m270_0003_0.png,300,-230
300_p130_0065_1.png,300,170
300_m100_0005_0.png,300,-60
150_m220_0002_3.png,150,-150
100_p70_0005_5.png,100,110
100_p260_0018_3.png,100,300
400_m140_0085_0.png,400,-140
100_p250_0007_3.png,100,290
300_p130_0009_0.png,300,170
300_p80_0102_0.png,300,120
150_p40_0005_1.png,150,110
150_p110_0029_0.png,150,180
150_p160_0018_1.png,150,230
150_p170_0023_1.png,150,240
50_m40_0024_1.png,50,10
150_p220_0024_1.png,150,290
400_p200_0104_0.png,400,200
150_m370_0003_2.png,150,-300
400_m150_0088_0.png,400,-150
150_m340_0012_3.png,150,-270
150_m90_0027_3.png,150,-20
200_m410_0023_0.png,200,-300
400_p230_0026_0.png,400,230
300_p110_0006_0.png,300,150
200_m80_0044_0.png,200,30
100_p180_0004_2.png,100,220
300_m280_0056_1.png,300,-240
200_m120_0007_1.png,200,-10
200_m230_0051_0.png,200,-120
300_p120_0045_0.png,300,160
100_p60_0020_5.png,100,100
200_m40_0034_1.png,200,70
300_p10_0030_0.png,300,50
150_m220_0031_1.png,150,-150
400_m190_0021_0.png,400,-190
200_p140_0035_0.png,200,250
100_m50_0029_5.png,100,-10
300_m280_0083_0.png,300,-240
100_p160_0014_1.png,100,200
150_p230_0009_0.png,150,300
100_m10_0015_3.png,100,30
400_m170_0046_0.png,400,-170
400_m280_0021_0.png,400,-280
300_m130_0087_1.png,300,-90
100_p60_0020_0.png,100,100
150_m40_0029_1.png,150,30
50_m200_0012_2.png,50,-150
300_p170_0069_1.png,300,210
300_p140_0068_1.png,300,180
100_p90_0010_4.png,100,130
150_m260_0001_1.png,150,-190
150_m240_0015_1.png,150,-170
100_m300_0007_1.png,100,-260
300_m190_0028_0.png,300,-150
200_p50_0004_0.png,200,160
200_m210_0055_0.png,200,-100
50_p0_0014_6.png,50,50
300_m280_0031_1.png,300,-240
200_p50_0015_0.png,200,160
150_m40_0008_1.png,150,30
50_m10_0010_6.png,50,40
300_p180_0013_0.png,300,220
50_p70_0006_2.png,50,120
300_p200_0071_1.png,300,240
100_p210_0002_3.png,100,250
50_m60_0012_7.png,50,-10
100_p100_0011_0.png,100,140
200_p80_0039_0.png,200,190
300_m50_0007_1.png,300,-10
200_p90_0025_1.png,200,200
50_m30_0015_6.png,50,20
50_m350_0044_5.png,50,-300
200_m90_0051_0.png,200,20
400_p270_0033_0.png,400,270
200_m240_0039_1.png,200,-130
50_p0_0009_7.png,50,50
100_p150_0015_3.png,100,190
400_m40_0098_0.png,400,-40
150_m370_0019_2.png,150,-300
300_p20_0083_0.png,300,60
300_m320_0050_0.png,300,-280
400_m20_0057_0.png,400,-20
50_m150_0011_5.png,50,-100
200_p70_0033_1.png,200,180
150_m100_0043_1.png,150,-30
50_p70_0004_5.png,50,120
200_p150_0070_0.png,200,260
300_m200_0014_0.png,300,-160
200_m130_0024_1.png,200,-20
400_m30_0024_0.png,400,-30
50_p180_0027_0.png,50,230
400_m50_0017_0.png,400,-50
200_p90_0027_1.png,200,200
150_p40_0002_1.png,150,110
200_p140_0007_0.png,200,250
400_p20_0062_0.png,400,20
