E:\Academics\DDP\Code\CNN\droplet-parameter-estimation\infocus\no_200
['data', 'dataset', 'main.py', 'model', 'resume.py', 'test.py', 'wandb']





























Epoch 1: 100%|████████████████████████████████████████████████████████████████████| 27/27 [01:18<00:00,  2.90s/batch, avg_mse=inf, mse=0.0939]



Validation 1: 100%|█████████████████████████████████████████████████████████████████| 4/4 [00:07<00:00,  1.79s/batch, avg_mse=inf, mse=0.0417]








































Epoch 2: 100%|████████████████████████████████████████████████████████████████| 27/27 [01:32<00:00,  3.44s/batch, avg_mse=0.0557, mse=0.00327]




Validation 2: 100%|█████████████████████████████████████████████████████████████| 4/4 [00:10<00:00,  2.70s/batch, avg_mse=0.0184, mse=0.00271]






































Epoch 3: 100%|███████████████████████████████████████████████████████████████| 27/27 [01:30<00:00,  3.35s/batch, avg_mse=0.0376, mse=0.000162]



Validation 3: 100%|████████████████████████████████████████████████████████████| 4/4 [00:10<00:00,  2.68s/batch, avg_mse=0.0124, mse=0.000668]





































Epoch 4: 100%|████████████████████████████████████████████████████████████████| 27/27 [01:21<00:00,  3.02s/batch, avg_mse=0.0282, mse=4.34e-6]



Validation 4: 100%|███████████████████████████████████████████████████████████████| 4/4 [00:08<00:00,  2.10s/batch, avg_mse=0.00935, mse=9e-5]
































Epoch 5: 100%|████████████████████████████████████████████████████████████████| 27/27 [01:18<00:00,  2.90s/batch, avg_mse=0.0226, mse=0.00012]

Validation 5: 100%|████████████████████████████████████████████████████████████| 4/4 [00:03<00:00,  1.05batch/s, avg_mse=0.00749, mse=3.78e-5]
  0%|                                                                                                               | 0/27 [00:00<?, ?batch/s]















Epoch 6: 100%|████████████████████████████████████████████████████████████████| 27/27 [00:35<00:00,  1.30s/batch, avg_mse=0.0188, mse=5.37e-5]
Validation 6: 100%|████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.16batch/s, avg_mse=0.00625, mse=3.25e-5]






Epoch 7: 100%|███████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  1.93batch/s, avg_mse=0.0162, mse=0.000788]
Validation 7: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  2.57batch/s, avg_mse=0.00542, mse=0.000387]






Epoch 8: 100%|███████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  2.01batch/s, avg_mse=0.0142, mse=0.000121]
Validation 8: 100%|████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  2.86batch/s, avg_mse=0.00475, mse=9.09e-5]






Epoch 9: 100%|████████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  2.06batch/s, avg_mse=0.0126, mse=1.14e-5]
Validation 9: 100%|████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.42batch/s, avg_mse=0.00422, mse=2.73e-5]




